bigg.metabolite,bigg.reaction,distance
zn2,agmt,1.0
ag,csnd,3.0
cu2,csnd,1.0
h2o2,csnd,1.0
hg2,csnd,2.0
zn2,csnd,1.0
mn2,add,1.0
adn,cytd,1.0
cu2,cytd,1.0
dad_2,cytd,1.0
dgsn,cytd,2.0
duri,cytd,1.0
fe2,cytd,1.0
fe3,cytd,1.0
gsn,cytd,2.0
uri,cytd,0.0
urea,cytd,2.0
zn2,cytd,1.0
dttp,dctpd,1.0
adp,gtpci,1.0
atp,gtpci,1.0
cu2,gtpci,1.0
dgtp,gtpci,1.0
fe2,gtpci,1.0
hg2,gtpci,2.0
mn2,gtpci,1.0
pi,gtpci,1.0
dttp,gtpci,1.0
utp,gtpci,1.0
ppi,gtpcii2,0.0
pi,gtpcii2,1.0
f6p,g6pda,0.0
zn2,g6pda,1.0
cynt,ppa,2.0
ppi,ppa,0.0
atp,ntpp1,1.0
ctp,ntpp1,1.0
datp,ntpp1,1.0
dctp,ntpp1,1.0
dgtp,ntpp1,0.0
dttp,ntpp1,1.0
utp,ntpp1,1.0
3pg,gdpmnp,2.0
adp,gdpmnp,1.0
amp,gdpmnp,1.0
atp,gdpmnp,1.0
ppi,gdpmnp,1.0
mg2,dutpdp,1.0
adp,cdappa120,1.0
amp,cdappa120,2.0
atp,cdappa120,1.0
camp,cdappa120,2.0
cmp,cdappa120,0.0
gmp,cdappa120,2.0
ump,cdappa120,2.0
cu2,ap4ah,1.0
fe2,ap4ah,1.0
zn2,ap4ah,1.0
adpglc,udpgalppp,3.0
dhpmp,dntppa,0.0
ppi,dntppa,0.0
dttp,dntppa,1.0
mn2,mg2uabcpp,1.0
cd2,zn2abcpp,1.0
cu2,zn2abcpp,1.0
ca2,kabcpp,1.0
na1,kabcpp,2.0
adp,atps4rpp,0.0
ca2,atps4rpp,1.0
ppi,atps4rpp,1.0
hg2,atps4rpp,1.0
pi,atps4rpp,0.0
atp,aso3t8pp,0.0
pydx5p,glyc3pabcpp,1.0
spmd,ptrcabcpp,1.0
accoa,oxcdc,2.0
coa,oxcdc,2.0
cd2,asp1dc,2.0
cu2,asp1dc,1.0
fe2,asp1dc,1.0
hg2,asp1dc,2.0
zn2,asp1dc,1.0
gdp,lysdc,2.0
gtp,lysdc,1.0
ppgpp,lysdc,2.0
gdptp,lysdc,2.0
ag,argdc,3.0
agm,argdc,0.0
citr__l,argdc,2.0
arg__l,argdc,0.0
lys__l,argdc,1.0
orn,argdc,1.0
pydx,argdc,2.0
spmd,argdc,1.0
urea,argdc,1.0
23dappa,dapdc,2.0
glu__l,dapdc,1.0
lys__l,dapdc,0.0
ump,ompdc,0.0
xmp,ompdc,2.0
asp__l,ppc,1.0
cit,ppc,1.0
cys__l,ppc,1.0
fum,ppc,2.0
succ,ppc,1.0
pydx,ppcdc,2.0
pydx5p,ppcdc,2.0
atp,ppck,0.0
fdp,ppck,1.0
f6p,ppck,1.0
dhap,ppck,1.0
3pg,ppck,1.0
mg2,ppck,1.0
nadh,ppck,1.0
oxa,ppck,2.0
ametam,admdc,0.0
cyan,admdc,3.0
amet,admdc,0.0
6pgc,kg6pdc,2.0
ppal,drpa,2.0
3pg,fba,2.0
cys__l,fba,2.0
dhap,fba,0.0
ppi,fba,2.0
g3p,fba,0.0
ni2,fba,2.0
mthgxl,fclpa,1.0
zn2,fclpa,2.0
cobalt2,rmpa,2.0
ni2,rmpa,2.0
pi,rmpa,1.0
so4,rmpa,2.0
cyan,glcral,1.0
ppi,glcral,2.0
6hmhpt,dhnpa2r,0.0
dhf,dhnpa2r,2.0
dhpt,dhnpa2r,2.0
akg,icl,1.0
3pg,icl,2.0
ca2,icl,2.0
cl,icl,2.0
glyclt,icl,1.0
glx,icl,0.0
oxa,icl,3.0
pi,icl,1.0
pep,icl,2.0
so4,icl,2.0
succ,icl,0.0
ag,acnml,4.0
cu2,acnml,2.0
dha,acnml,1.0
fe2,acnml,2.0
hg2,acnml,2.0
h2o2,acnml,2.0
mn2,acnml,2.0
pyr,acnml,0.0
zn2,acnml,2.0
oaa,citl,0.0
trp__l,ans,1.0
4hbz,ans,1.0
2obut,hopntal,1.0
4mop,hopntal,2.0
glx,hopntal,2.0
pyr,hopntal,0.0
4hbz,chrpl,0.0
ala__l,trpas2,1.0
met__l,trpas2,1.0
phe__l,trpas2,1.0
trp__l,trpas2,0.0
tartr__l,fum,2.0
acon_c,fum,3.0
cit,fum,2.0
glyc,fum,2.0
