,NumRef,Refs
cyan-->spmdat2,1,639951
g3p-->glgc,1,643144
ni2-->acoda,1,171960
hpyr-->pdh,1,348956
thr__l-->csnd,1,209497
mn2-->adsk,1,641215
ctp-->mepct,1,661089
gtp-->cbps,1,1731
cu2-->taudo,1,285263
cobalt2-->me2,1,722940
uacgam-->uagaat,1,720069
rib__d-->rbk,1,673692
oxa-->mals,1,706621
pep-->g3pd2,1,689802
ctp-->ntd1,1,656266
camp-->cdappa120,1,210004
amp-->dbts,1,1338
xmp-->gluprt,1,489747
pi-->gtpcii2,1,656006
amp-->tmpk,1,642545
cys__l-->adsk,1,641217
mg2-->g3pat120,1,486357
gdp-->rndr1,1,437939
mal__l-->aspk,1,642329
akg-->abta,1,661189
cys__l-->gui1,1,2619
nadph-->udpgalm,1,726820
amp-->rpi,1,2787
ca2-->gludy,1,391662
glx-->pdh,1,348956
2dda7p-->dhqs,1,137619
glu__l-->prfgs,1,1670
gtp-->ntd1,1,656266
pi-->23pde2pp,1,693167
ag-->tdpgdh,1,5718
succ-->ppc,1,4311
pi-->rmpa,1,713694
ahcys-->hcysmt,1,441382
h2s-->no3r2bpp,1,395167
mg2-->nads1,1,653053
h2o2-->acnml,1,33314
orn-->acoda,1,171964
adp-->gluprt,1,489747
adp-->thd2pp,1,725040
cu2-->lipatpt,1,663919
so4-->ampn,1,171817
cyan-->cyanst,1,645502
itp-->ntd1,1,656266
acgam1p-->g1pact,1,288685
g6p-->treptspp,1,692907
adpglc-->pps,1,645473
fald-->asad,1,390180
k-->mets,1,441179
itp-->aspct,1,485837
arg__l-->agmt,1,246681
pa160-->dagk160,1,640361
cl-->aspct,1,485853
thr__l-->pgcd,1,287525
ile__l-->ocbt,1,485898
urea-->aspo6,1,391756
utp-->gludy,1,391675
pyr-->mcpst,1,645548
2cpr5p-->praii,1,4611
cobalt2-->a5piso,1,2624
atp-->ntd1,1,656266
ppi-->gmps2,1,1362
adp-->uamas,1,662701
cu2-->zn2abcpp,1,246928
pydx-->gcaldd,1,390214
imp-->prascsi,1,661204
cit-->fum,1,33771
phpyr-->pdh,1,348956
val__l-->hsk,1,641470
mg2-->rbk,1,641005
mn2-->add,1,650622
g6p-->fbp,1,680799
met__l-->ocbt,1,485898
pmtcoa-->ear121y,1,390503
akg-->fba,1,4914
betald-->betaldhx,1,390329
mg2-->gsnk,1,641925
ca2-->lcadi,1,288133
h2s-->sulri,1,348059
zn2-->agpr,1,390280
dpcoa-->ptpati,1,674344
gmp-->ctps2,1,674909
dtdp-->tdpgdh,1,5714
lald__d-->tala,1,719298
fe2-->acnml,1,33332
imp-->adss,1,1557
amp-->pants,1,979
gly-->glns,1,37497
dttp-->tdpgdh,1,5714
indole-->alaalar,1,727157
asp__l-->aspt,1,6021
cu2-->ddpa,1,639771
for-->obtfl,1,487220
na1-->mets,1,441179
mg2-->dutpdp,1,209964
acglu-->cbps,1,1725
adn-->leutrs,1,429
dctp-->dasyn120,1,643314
ni2-->fba,1,728325
fdp-->ddpa,1,639741
nadp-->ntrir2x,1,392929
urea-->cbps,1,1741
cytd-->cytd,1,209659
zn2-->lacz,1,171273
h2o2-->cpppgo2,1,711348
hg2-->g6pdh2r,1,722473
hg2-->atps4rpp,1,210238
cu2-->acgs,1,486063
pi-->kdops,1,637397
pydam-->gcaldd,1,390214
fad-->adsk,1,641217
zn2-->dhqti,1,5463
aacoa-->acact1r,1,487690
