,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
301,1.5.1.30,nadp,0.0139,Glycerol,0.0203,0.593567251462,nadp:1.5.1.30
302,1.6.1.2,nadp,0.17,Glycerol,0.0203,0.106673673148,nadp:1.6.1.2
303,1.8.1.9,nadp,0.015,Glycerol,0.0203,0.57507082153,nadp:1.8.1.9
304,1.17.4.1,gdp,0.007,Glycerol,0.4333,0.984101748808,gdp:1.17.4.1
305,3.6.5.4,gdp,0.0002,Glycerol,0.4333,0.999538638985,gdp:3.6.5.4
306,1.8.1.4,nadh,0.009,Glycerol,0.163,0.947674418605,nadh:1.8.1.4
307,2.3.3.16,nadh,0.0028,Glycerol,0.163,0.983112183353,nadh:2.3.3.16
308,2.1.3.2,fum,5.3,Glycerol,0.738,0.122225902617,fum:2.1.3.2
309,2.1.3.2,succ,3.5,Glycerol,1.414,0.287749287749,succ:2.1.3.2
310,2.6.1.19,succ,27.0,Glycerol,1.414,0.0497642007461,succ:2.6.1.19
311,2.7.2.4,succ,159.0,Glycerol,1.414,0.00881469198449,succ:2.7.2.4
312,6.3.4.4,succ,0.89,Glycerol,1.414,0.613715277778,succ:6.3.4.4
313,2.3.3.16,akg,0.76,Glycerol,0.9517,0.555996962084,akg:2.3.3.16
314,2.3.3.9,pyr,0.65,Glycerol,4.6476,0.877302929629,pyr:2.3.3.9
315,2.7.11.5,pyr,0.2,Glycerol,4.6476,0.958742470501,pyr:2.7.11.5
316,4.1.2.52,pyr,0.51,Glycerol,4.6476,0.901116798511,pyr:4.1.2.52
317,4.1.3.39,pyr,0.51,Glycerol,4.6476,0.901116798511,pyr:4.1.3.39
318,2.7.11.5,icit,0.016,Glycerol,0.0188,0.540229885057,icit:2.7.11.5
319,2.7.4.1,gmp,0.0007,Glycerol,0.1513,0.995394736842,gmp:2.7.4.1
320,3.1.3.11,f1p,1.0,Glycerol,0.0727,0.0677729094807,f1p:3.1.3.11
321,3.2.2.9,ade,0.3,Glycerol,0.0156,0.0494296577947,ade:3.2.2.9
322,6.3.3.3,ade,2.2,Glycerol,0.0156,0.00704098212674,ade:6.3.3.3
323,4.1.2.13,dhap,0.13,Glycerol,4.0539,0.968928511676,dhap:4.1.2.13
324,6.3.4.2,gtp,0.12,Glycerol,2.0286,0.944149678861,gtp:6.3.4.2
325,1.1.1.169,adp,1.05,Gluconate,0.8482,0.446844378885,adp:1.1.1.169
326,1.1.1.94,adp,0.8,Gluconate,0.8482,0.514622011892,adp:1.1.1.94
327,1.6.5.11,adp,0.7,Gluconate,0.8482,0.547862033329,adp:1.6.5.11
