,NumRef,Refs
pser__l-->hsk,1,641471
na1-->kabcpp,1,289114
pi-->3oas121,1,486864
glc__d-->glcp2,1,488238
23dappa-->pants,1,978
so4-->icl,1,33118
nad-->g3pd2,1,669177
gdp-->lysdc,1,714832
atp-->manao,3,287131;287132;287133
cit-->accoac,1,37593
mg2-->sucbzl,1,648945
atp-->kabcpp,2,289111;289116
dhpmp-->dntppa,1,727800
fe2-->dhqti,1,5463
cys__l-->cysds,1,34690
3pg-->fba,1,4943
udp-->udpg4e,1,650515
adp-->kabcpp,2,289111;289114
2obut-->glgc,1,643144
ile__l-->hsk,1,641470
fdp-->ab6pgh,1,136924
cu2-->acnml,3,33314;33332;33337
pydx5p-->adncyc,2,34790;34813
gdp-->gdmane,1,389515
pyr-->hopntal,1,702377
pyr-->serd_l,2,210823;210847
fe2-->gcaldd,1,390215
mana-->tagurr,1,287140
glyc3p-->ab6pgh,1,136924
prpp-->upprt,1,638369
pi-->ppm2,1,3340
cyan-->mcpst,1,645548
ppi-->tyrtrs,1,650300
spmd-->g6pdh2r,1,722577
no3-->sulri,1,392964
adn-->cytd,2,209644;209660
utp-->tmppp,2,639722;639723
urea-->ghmt2r,1,703674
utp-->orpt,1,489719
cobalt2-->rmpa,2,5065;5067
uri-->duripp,1,672287
amet-->metat,2,639045;639056
zn2-->gui1,1,2619
adp-->atps4rpp,1,685315
hg2-->abutd,1,690591
cobalt2-->thd2pp,1,725040
oxa-->ppck,1,650420
ump-->udpg4e,2,2320;650515
gmp-->gluprt,2,489747;489763
2obut-->achbs,1,395887
atp-->oxcdc,1,714955
citr__l-->acgs,1,486063
pi-->selnps,1,645479
glyc-->tmds,1,485431
adp-->uapgr,1,286065
ag-->pgcd,1,287530
cu2-->asp1dc,1,3992
